the_geom,county,city_village_or_cdp,housing_type,complex_address,units,acres,status,year,comment,conversion_date,cartodb_id,latitude,longitude,number,street,city,zip
0101000020E6100000262724E3624252C0CD45D7E0D8644440,Suffolk,Holtsville,COOP,Glen Hollow Dr. & Buckley Rd.,364,43,BUILT,1972,APTCONV,1985,1244,40.7878686,-73.0372856,,,Brookhaven,11742
0101000020E6100000F0C16B97364152C0718E3A3AAE604440,Suffolk,Patchogue,COND,263 River Ave.,79,3.4,BUILT,1972,APTCONV,1988,1318,40.755317,-73.018957,263,River Ave,Patchogue,11772
0101000020E610000091D09673293952C051137D3ECA744440,Suffolk,Ridge,COND,Sheffield Dr. & Whiskey Rd.,701,40,BUILT,1972,SRCIT-SF,,1361,40.912422,-72.893155,,Sheffield Dr,Ridge,11961
0101000020E6100000B6D95889794B52C00AF7CABC55694440,Suffolk,Hauppauge,COOP,Village Dr. & Blydenburgh Rd.,165,14.1,BUILT,1972,APTCONV,1986,1644,40.822929,-73.179293,,Blydenburgh Rd,Hauppauge,11788
0101000020E6100000FA60191BBA2252C02A58E36C3A6E4440,Suffolk,Hampton Bays,COOP,81 W. Tiana Rd.,33,2.4,BUILT,1972,MOTELCONV,1984,1771,40.861158,-72.542609,81,W Tiana Rd,Hampton Bays,11946
0101000020E6100000F20A444FCA2152C09FE6E44526704440,Suffolk,Hampton Bays,COOP,"34 Good Ground Rd,99 W.Montauk",10,0.7,BUILT,1972,MOTELCONV,1981,1782,40.876168,-72.527973,34,Good Ground Rd,Hampton Bays,11946
0101000020E61000005A48C0E8726852C0852F0219F06E4440,Nassau,Glen Cove,APT,"21, 31, 33 Brewster St.",184,4.2,BUILT,1973,,,16,40.8667022,-73.6320135,31,Brewster St,,11542
0101000020E6100000FC1C7AE6C05752C02332079C00614440,Suffolk,Wheatley Heights,COOP,175 Main Ave.,78,4.9,BUILT,1973,APTCONV,1988,1168,40.7578311,-73.3711487,175,Main Ave,Babylon,
0101000020E61000004293C492726552C00D8AE6012C544440,Nassau,Freeport,APT,30 Brooklyn Ave.,14,0.3,BUILT,1973,,,118,40.657593,-73.585118,30,Brooklyn Ave,Freeport,11520
0101000020E61000009D11A5BDC16552C08657923CD7534440,Nassau,Freeport,APT,178 Pine St.,24,0.4,BUILT,1973,,,162,40.655006,-73.58995,178,Pine St,Freeport,11520
0101000020E6100000A0185932C76852C0342E1C08C95C4440,Nassau,Garden City,COND,99 7th St.,22,0.6,BUILT,1973,,,202,40.724885,-73.637158,99,7th St,Garden City,11530
0101000020E6100000B96FB54E5C6852C0DCA16131EA5A4440,Nassau,Hempstead,APT,77 Terrace Ave.,32,0.6,BUILT,1973,,,229,40.710272,-73.630634,77,Terrace Ave,Hempstead,11550
0101000020E610000029ECA2E8816C52C045662E7079524440,Nassau,Hewlett,COND,1534 Broadway,36,2.3,BUILT,1973,,,314,40.644331,-73.695429,1534,Broadway,Hewlett,11557
0101000020E61000000A14B188616D52C0E02BBAF59A564440,Nassau,Valley Stream,APT,303-315 N. Central Ave.,28,0.8,BUILT,1973,,,497,40.676604,-73.709078,315,N Central Ave,Valley Stream,11580
